# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0260 17 37 19.09  -3 17  6.65 21.811 0.020 20.889 0.019  0.006
ID-0261 17 37 19.10  -3 14  0.22 21.348 0.014 20.252 0.010 -0.032
ID-0262 17 37 19.12  -3 10 47.82 23.061 0.049 22.131 0.036 -0.041
ID-0263 17 37 19.12  -3 14 16.93 23.049 0.051 22.048 0.047 -0.032
ID-0264 17 37 19.13  -3 15 57.26 22.304 0.026 21.253 0.026 -0.022
ID-0265 17 37 19.13  -3 19 27.25 22.023 0.022 20.746 0.016 -0.006
ID-0266 17 37 19.16  -3 16 48.01 22.576 0.040 21.556 0.032  0.006
ID-0267 17 37 19.16  -3 17 35.68 22.525 0.038 21.464 0.030 -0.001
ID-0268 17 37 19.17  -3 13 18.94 21.621 0.015 20.605 0.014 -0.050
ID-0269 17 37 19.17  -3 15 11.36 22.234 0.027 21.282 0.029 -0.022
ID-0270 17 37 19.18  -3 12 16.35 19.138 0.003 17.844 0.002 -0.050
ID-0271 17 37 19.19  -3 12 11.72 20.496 0.008 19.280 0.004 -0.050
ID-0272 17 37 19.19  -3 15 23.08 21.557 0.015 20.567 0.014 -0.022
ID-0273 17 37 19.19  -3 15 44.65 23.216 0.058 22.112 0.051 -0.022
ID-0274 17 37 19.20  -3 11 41.00 23.106 0.054 22.109 0.049 -0.041
ID-0275 17 37 19.20  -3 15 15.32 20.518 0.007 19.215 0.006 -0.022
ID-0276 17 37 19.22  -3 18 47.32 21.034 0.010 19.842 0.008 -0.001
ID-0277 17 37 19.23  -3 11 16.63 22.643 0.038 21.558 0.034 -0.041
ID-0278 17 37 19.23  -3 14 45.39 23.111 0.054 21.829 0.036 -0.032
ID-0279 17 37 19.26  -3 15 38.41 21.566 0.018 20.516 0.011 -0.022
ID-0280 17 37 19.27  -3 10  9.74 21.533 0.014 20.545 0.013 -0.048
ID-0281 17 37 19.27  -3 14 37.10 22.867 0.050 21.698 0.032 -0.032
ID-0282 17 37 19.28  -3 11 52.81 22.392 0.030 20.994 0.015 -0.041
ID-0283 17 37 19.28  -3 13 20.79 22.129 0.024 21.111 0.021 -0.050
ID-0284 17 37 19.28  -3 15  6.07 20.447 0.007 19.215 0.005 -0.022
ID-0285 17 37 19.28  -3 15 50.96 22.513 0.035 21.500 0.024 -0.022
ID-0286 17 37 19.29  -3 14 12.52 22.488 0.029 21.411 0.024 -0.032
ID-0287 17 37 19.29  -3 15 41.50 22.659 0.038 21.623 0.033 -0.022
ID-0288 17 37 19.30  -3  8 54.35 21.432 0.015 20.348 0.012  0.002
ID-0289 17 37 19.30  -3 15 32.18 22.351 0.031 21.230 0.024 -0.022
ID-0290 17 37 19.30  -3 17 59.73 18.390 0.002 17.362 0.002 -0.001
ID-0291 17 37 19.31  -3 16 34.46 22.246 0.031 21.199 0.023  0.006
ID-0292 17 37 19.32  -3 12  0.71 23.151 0.053 21.928 0.041 -0.041
ID-0293 17 37 19.32  -3 12 24.25 15.896 0.001 14.488 0.001 -0.050
ID-0294 17 37 19.32  -3 14  2.39 20.029 0.005 18.782 0.003 -0.032
ID-0295 17 37 19.32  -3 17 36.39 22.026 0.028 20.954 0.022 -0.001
ID-0296 17 37 19.32  -3 21 16.19 21.946 0.026 20.988 0.023  0.013
ID-0297 17 37 19.33  -3 13 14.22 22.260 0.025 21.223 0.020 -0.050
ID-0298 17 37 19.33  -3 13  9.41 22.954 0.038 21.938 0.048 -0.050
ID-0299 17 37 19.33  -3 14 28.77 20.294 0.005 19.186 0.005 -0.032
ID-0300 17 37 19.34  -3 17 39.96 22.907 0.046 21.717 0.038 -0.001
ID-0301 17 37 19.36  -3 17 33.34 22.136 0.024 21.173 0.025 -0.001
ID-0302 17 37 19.37  -3 12 45.34 22.963 0.042 21.890 0.038 -0.050
ID-0303 17 37 19.38  -3 12  3.52 19.333 0.003 18.050 0.002 -0.041
ID-0304 17 37 19.40  -3 10 43.70 22.773 0.036 21.745 0.037 -0.048
ID-0305 17 37 19.41  -3 21  4.93 21.743 0.025 20.618 0.015  0.013
ID-0306 17 37 19.42  -3  9 25.80 22.144 0.022 21.261 0.028  0.002
ID-0307 17 37 19.42  -3 16 22.47 21.647 0.019 20.728 0.017  0.006
ID-0308 17 37 19.44  -3  9 20.40 22.214 0.025 21.264 0.024  0.002
ID-0309 17 37 19.44  -3 14 34.53 23.047 0.052 21.907 0.038 -0.032
ID-0310 17 37 19.44  -3 16 42.48 21.048 0.015 19.841 0.008  0.006
ID-0311 17 37 19.45  -3 15 38.26 22.017 0.019 20.999 0.019 -0.022
ID-0312 17 37 19.46  -3 13 26.11 22.973 0.042 21.760 0.027 -0.050
ID-0313 17 37 19.46  -3 21  9.44 21.290 0.017 20.105 0.012  0.013
ID-0314 17 37 19.48  -3 12 55.00 20.929 0.009 19.702 0.006 -0.050
